날짜,구글 A_Predicted,구글 A_Actual
2007-09-28,16.52164,14.128397941589355
2007-09-29,16.573439,14.128397941589355
2007-09-30,16.622114,14.128397941589355
2007-10-01,16.670263,14.50896167755127
2007-10-02,16.728546,14.554789543151855
2007-10-03,16.78371,14.545573234558104
2007-10-04,16.83686,14.421292304992676
2007-10-05,16.89318,14.795380592346191
2007-10-06,16.94595,14.795380592346191
2007-10-07,16.997238,14.795380592346191
2007-10-09,17.047081,15.321642875671388
2007-10-10,17.095104,15.575932502746582
2007-10-11,17.13937,15.491501808166504
2007-10-12,17.17927,15.874805450439451
2007-10-13,17.220564,15.874805450439451
2007-10-14,17.259605,15.874805450439451
2007-10-15,17.298075,15.444428443908691
2007-10-16,17.334862,15.34206485748291
2007-10-17,17.367949,15.777421951293944
2007-10-18,17.403282,15.930346488952637
2007-10-19,17.439589,16.057113647460938
2007-10-20,17.469246,16.057113647460938
2007-10-21,17.496471,16.057113647460938
2007-10-22,17.52268,16.20754623413086
2007-10-23,17.549904,16.83069610595703
2007-10-24,17.577335,16.831941604614258
2007-10-25,17.606411,16.64987564086914
2007-10-26,17.631605,16.80155372619629
2007-10-27,17.656094,16.80155372619629
2007-10-28,17.686888,16.80155372619629
2007-10-29,17.717426,16.9168701171875
2007-10-30,17.748562,17.303909301757812
2007-10-31,17.775427,17.60850715637207
2007-11-01,17.807848,17.51411247253418
2007-11-02,17.846088,17.714357376098633
2007-11-03,17.877754,17.714357376098633
2007-11-04,17.913898,17.714357376098633
2007-11-05,17.949322,18.073001861572266
2007-11-06,17.982252,18.474985122680664
2007-11-07,18.012527,18.254568099975582
2007-11-08,18.03384,17.280746459960938
2007-11-09,18.051382,16.53680419921875
2007-11-10,18.06363,16.53680419921875
2007-11-11,18.078362,16.53680419921875
2007-11-13,18.093115,16.45162582397461
2007-11-14,18.11321,15.981650352478027
2007-11-15,18.130613,15.682032585144045
2007-11-16,18.14491,15.781157493591309
2007-11-17,18.163788,15.781157493591309
2007-11-18,18.184105,15.781157493591309
2007-11-19,18.209597,15.58738899230957
2007-11-20,18.228851,16.152507781982422
2007-11-21,18.246635,16.450878143310547
2007-11-23,18.251755,16.853858947753906
2007-11-24,18.254927,16.853858947753906
2007-11-25,18.25507,16.853858947753906
2007-11-26,18.254757,16.587364196777344
2007-11-27,18.244785,16.775903701782227
2007-11-28,18.239555,17.241392135620117
2007-11-29,18.240744,17.359445571899414
2007-11-30,18.23964,17.259822845458984
2007-12-01,18.241932,17.259822845458984
2007-12-02,18.227892,17.259822845458984
2007-12-03,18.21437,16.974151611328125
2007-12-04,18.192783,17.039655685424805
2007-12-05,18.154903,17.39705467224121
2007-12-06,18.11874,17.81422996520996
2007-12-07,18.083618,17.804519653320312
2007-12-08,18.054745,17.804519653320312
2007-12-09,18.02437,17.804519653320312
2007-12-10,18.003769,17.89293098449707
2007-12-11,17.984667,17.41423988342285
2007-12-12,17.956394,17.41797637939453
2007-12-13,17.934076,17.28597640991211
2007-12-14,17.914894,17.184110641479492
2007-12-15,17.897171,17.184110641479492
2007-12-16,17.879688,17.184110641479492
2007-12-17,17.864136,16.667810440063477
2007-12-18,17.84529,16.770423889160156
2007-12-19,17.825966,16.870546340942383
2007-12-20,17.804493,17.177385330200195
2007-12-21,17.783873,17.351728439331055
2007-12-22,17.76575,17.351728439331055
2007-12-23,17.743088,17.351728439331055
2007-12-24,17.714554,17.452346801757812
2007-12-26,17.687115,17.70414924621582
2007-12-27,17.661798,17.452594757080078
2007-12-28,17.631443,17.49717903137207
2007-12-29,17.59874,17.49717903137207
2007-12-30,17.565828,17.49717903137207
2007-12-31,17.536484,17.221965789794922
2008-01-02,17.504326,17.0653076171875
2008-01-03,17.30119,17.06879425048828
2008-01-04,17.09796,16.363208770751953
2008-01-05,16.861557,16.363208770751953
2008-01-06,16.629555,16.363208770751953
2008-01-07,16.399082,16.170188903808594
2008-01-08,16.175371,15.73259162902832
2008-01-09,15.953407,16.268566131591797
2008-01-10,15.735735,16.107425689697266
2008-01-11,15.525882,15.89622402191162
2008-01-12,15.321722,15.89622402191162
2008-01-13,15.126469,15.89622402191162
2008-01-14,14.943401,16.28400993347168
2008-01-15,14.764097,15.88127899169922
2008-01-16,14.592493,15.3408203125
2008-01-17,14.430763,14.963247299194336
2008-01-18,14.272902,14.949796676635742
2008-01-19,14.125798,14.949796676635742
2008-01-20,13.992278,14.949796676635742
2008-01-22,13.868475,14.553791999816896
2008-01-23,13.749412,13.663902282714844
2008-01-24,13.634674,14.308220863342283
2008-01-25,13.523528,14.106730461120604
2008-01-26,13.409322,14.106730461120604
2008-01-27,13.299237,14.106730461120604
2008-01-28,13.192482,13.847209930419922
2008-01-29,13.093439,13.711224555969238
2008-01-30,12.99949,13.655186653137209
2008-01-31,12.907966,14.054428100585938
2008-02-01,12.818568,12.848978996276855
2008-02-02,12.742348,12.848978996276855
2008-02-03,12.663669,12.848978996276855
2008-02-04,12.585824,12.339155197143556
2008-02-05,12.50153,12.622336387634276
2008-02-06,12.424491,12.495564460754396
2008-02-07,12.3529415,12.57625961303711
2008-02-08,12.286813,12.86865520477295
2008-02-09,12.215669,12.86865520477295
2008-02-10,12.154132,12.86865520477295
2008-02-11,12.092844,12.979984283447266
2008-02-12,12.037634,12.903523445129396
2008-02-13,11.988384,13.31521987915039
2008-02-14,11.939779,13.256193161010742
2008-02-15,11.900997,13.191187858581545
2008-02-16,11.870685,13.191187858581545
2008-02-17,11.843715,13.191187858581545
2008-02-19,11.816835,12.675884246826172
2008-02-20,11.799578,12.677128791809082
2008-02-21,11.784048,12.524206161499023
2008-02-22,11.770491,12.647242546081545
2008-02-23,11.759497,12.647242546081545
2008-02-24,11.751813,12.647242546081545
2008-02-25,11.746723,12.11525058746338
2008-02-26,11.749383,11.561092376708984
2008-02-27,11.750815,11.777027130126951
2008-02-28,11.75614,11.84004020690918
2008-02-29,11.760012,11.735185623168944
2008-03-01,11.762941,11.735185623168944
2008-03-02,11.793322,11.735185623168944
2008-03-03,11.831563,11.382518768310549
2008-03-04,11.874268,11.073185920715332
2008-03-05,11.918583,11.150394439697266
2008-03-06,11.966324,10.77680492401123
2008-03-07,12.019129,10.792994499206545
2008-03-08,12.064101,10.792994499206545
